,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
62265,France,"This wine is dark, with a strong sense of structure. Dense black fruits are cut with strawberry acidity and a dark tension between fruit and firm tannins. The coiled power will allow this beautiful wine age for many years. Drink from 2024.",Theurons Premier Cru,94,62.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2017 Theurons Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2017 Theurons Premier Cru  (Beaune),2017,Good
62271,France,"From one of the top Premier Cru vineyards in Beaune, this structured wine shows concentration and richness. Packed with tannins in its center, it is cushioned by the generous red berry and cherry fruits. The wine has a finely perfumed aftertaste. Drink from 2022.",Grèves Premier Cru,93,57.0,Burgundy,Beaune,,Roger Voss,@vossroger,Alex Gambal 2017 Grèves Premier Cru  (Beaune),Pinot Noir,Alex Gambal, 2017 Grèves Premier Cru  (Beaune),2017,Good
62720,France,"For the wine and its fruit, there is too much firm extract here. It brings out very dry tannins and licorice flavors that cover the fruit. It's going to be a difficult wine to soften.",La Bataillère aux Vergelesses Premier Cru,87,61.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Albert Morot 2016 La Bataillère aux Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Albert Morot, 2016 La Bataillère aux Vergelesses Premier Cru  (Savigny-lès-Beaune),2016,Mid
63604,France,"Perfume partners with great acidity in this wine. The two work in harmony, resulting in a wine that has a soft texture, rich, jammy berry fruits and a backbone of tannins that will allow for aging. Drink from 2021.",Clos de la Mousse Premier Cru,93,60.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2015 Clos de la Mousse Premier Cru  (Beaune),2015,Good
63630,France,"Firm and structured, this dense and dark wine offers ripe black fruits and a concentrated texture. It also shows good acidity and the fruitiness of 2015, giving a wine that is both rich and fresh. Age and drink from 2021.",Clos des Mouches Premier Cru,93,105.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Chanson 2015 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Domaine Chanson, 2015 Clos des Mouches Premier Cru  (Beaune),2015,Good
63631,France,"Ripe and full-bodied, this immense wine has rich layers of tropical fruits. The wine, like so often in Corton-Charlemagne, is a powerful, huge expression of Chardonnay. It does have balance from acidity. Drink from 2022.",,93,282.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Faiveley 2015  Corton-Charlemagne,Chardonnay,Domaine Faiveley, 2015  Corton-Charlemagne,2015,Good
64001,France,"Wood aromas along with ripe tropical fruits are the hallmarks of this fully ripe, marvelous wine. It is structured, rich, its fruit given a light cinnamon pinch from the wood. It is so delicious, it could be drunk now, but that would be a shame. Wait until 2021.",,94,135.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Vincent Girardin 2015  Corton-Charlemagne,Chardonnay,Domaine Vincent Girardin, 2015  Corton-Charlemagne,2015,Good
64163,France,"Grown on rocky subsoil, this ripe and fruity wine has good acidity and plenty of black-cherry fruit. A darker core of tannins gives the wine a rich texture. With open fruits and plenty of acidity, the wine is developing well. Drink from 2023.",Les Lavières Premier Cru,92,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2018 Les Lavières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Bouchard Père & Fils, 2018 Les Lavières Premier Cru  (Savigny-lès-Beaune),2018,Good
65599,France,"Because of such small harvests in 2017 because of hail, Alex Gambal decided to make one wine from all his premier cru parcels in Savigny-lès-Beaune. This wine is rich and ripe, full of sweet crushed strawberry flavors as well as a dry core of structure. Age this fine wine and drink from 2021.",Premier Cru,92,45.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Alex Gambal 2017 Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Alex Gambal, 2017 Premier Cru  (Savigny-lès-Beaune),2017,Good
65936,France,"A flagship wine for this producer, this is rich and seductive, opulent even. Bold yellow fruits, ripe apples and pears are surrounded by a youthful texture that will allow it to age. The fruit and the touches of wood are still present, but will integrate beautfully. Drink this wine from 2023.",,95,165.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Latour 2019  Corton-Charlemagne,Chardonnay,Louis Latour, 2019  Corton-Charlemagne,2019,Good
65939,France,"Ripe, warm and with delicious strawberry and red-plum fruits, the wine is generous and full of fruit. The tannins are also there, a structure just to support all this fruit. It will be an opulent and beautiful wine as it ages. Drink from 2025.",Les Cent Vignes Premier Cru,95,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2019 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2019 Les Cent Vignes Premier Cru  (Beaune),2019,Good
65945,France,"This wine from the Corton Grand Cru vineyard is packed with tannins as well as smoky fruit. It is richly structured and firm, yet the fruit is equally powerful, showing bold black fruits struck against bright acidity. The wine will need considerable aging; drink from 2025.",Château Corton Grancey,95,165.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2019 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour, 2019 Château Corton Grancey  (Corton),2019,Good
65953,France,"This is a rich wine with great potential. Its juicy spice and acidity are balanced with the red fruits, the generous texture and the fine structure. It is a wine that sums up the ripeness of the vintage. Drink from 2024.",Champs Pimont Premier Cru,94,60.0,Burgundy,Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2019 Champs Pimont Premier Cru  (Beaune),Pinot Noir,Seguin-Manuel, 2019 Champs Pimont Premier Cru  (Beaune),2019,Good
65965,France,"This is a generous wine, although one that will need some serious aging. It is rich in tannins and powered by a firm structure. The fruit offers the weight to counter the tannins. It just needs time. Drink from 2024.",Les Fèves Premier Cru,94,93.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2019 Les Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2019 Les Fèves Premier Cru  (Beaune),2019,Good
68134,France,"From one of the rare south-facing vineyards in Beaune, this warm, rich and ripe wine is generous with its spice, smokiness and rounded red fruits. Acidity cuts through, bringing raspberry in its wake. The sense of structure really gives this wine its power and density. Drink from 2024.",Clos des Couchereaux Premier Cru,94,62.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2017 Clos des Couchereaux Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2017 Clos des Couchereaux Premier Cru  (Beaune),2017,Good
68149,France,"Wonderful spice and ripe red fruits shoot through this rich while structured wine. Dark cherries, strawberries and a ripe texture have given a wine that will be beautiful, smooth and generous. The acidity and the core of tannins will allow it to age well. Drink from 2023.",Grèves Premier Cru,94,62.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2017 Grèves Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2017 Grèves Premier Cru  (Beaune),2017,Good
68150,France,"A generous wine, this features intense dark fruits, ripe strawberry and an almost -weet character. It's packed with spice, richness and beautiful concentration. Great acidity gives a wine that is developing freshness and weight. Drink from 2024.",Les Boucherottes Premier Cru,94,62.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2017 Les Boucherottes Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2017 Les Boucherottes Premier Cru  (Beaune),2017,Good
68276,France,"With concentration and a sense of structure, this is a solid wine with great potential. It has firm tannins under the attractive raspberry fruits. The wine is dense and certainly needs aging. Drink from 2022.",Vieilles Vignes,90,38.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Roche de Bellene 2016 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Roche de Bellene, 2016 Vieilles Vignes  (Savigny-lès-Beaune),2016,Mid
68984,France,"This wine is soft and round, with attractive acidity as well as a light sense of structure from tannins. It features considerable acidity along with wild strawberry flavors that keep it lifted and aromatic. Drink from 2021.",Vignes Franches Premier Cru,91,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2016 Vignes Franches Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2016 Vignes Franches Premier Cru  (Beaune),2016,Good
69975,France,"This rich wine is one of the rare white wines of Savigny-lès-Beaune. It has warm, yellow- and tropical-fruit flavors, light acidity and a smooth, creamy texture. A fresh citrus character lingers on the finish. Drink now–2023.",,87,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2015  Savigny-lès-Beaune,Chardonnay,Bouchard Aîné & Fils, 2015  Savigny-lès-Beaune,2015,Mid
72312,France,"This wine comes from a small Chardonnay enclave in the predominantly red premier cru of Beaune Grèves. With its intense exotic fruit and apricot flavors, it's both ripe and crisp with acidity. That makes for a delicious reflection of the vintage, needing time to mature. Drink from 2024.",Beaune Grèves Premier Cru Le Clos Blanc,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2018 Beaune Grèves Premier Cru Le Clos Blanc  (Beaune),Chardonnay,Louis Jadot, 2018 Beaune Grèves Premier Cru Le Clos Blanc  (Beaune),2018,Good
72567,France,"From vines in the plain between Corton and Beaune, this wine is full of ripe red fruits. Its soft, rounded character is spiced with acidity and the wood aging. Soft tannins fill the texture. Drink from 2022.",Les Pimentiers,89,39.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Des Meix Porons 2018 Les Pimentiers  (Savigny-lès-Beaune),Pinot Noir,Domaine Des Meix Porons, 2018 Les Pimentiers  (Savigny-lès-Beaune),2018,Mid
72748,France,"Rich and juicy, this wine holds excellent potential. With its ripe red-berry fruit, balanced tannins and acidity, and spice from the wood aging, it will become a concentrated wine. Drink from 2024.",Les Cent Vignes Premier Cru,93,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2018 Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2018 Les Cent Vignes Premier Cru  (Beaune),2018,Good
72754,France,"Situated in the northern part of the Côte de Beaune, the vines produce soft, ripe wines. This wine is typical of this style with just enough tannins to bolster the rich berry fruits. It features a juicy backdrop along with touches of wood and spice. It needs time; drink from 2024.",Clos du Roi Premier Cru,93,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2018 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Château de Santenay, 2018 Clos du Roi Premier Cru  (Beaune),2018,Good
72764,France,"A generous wine, this is packed with red fruits as well as firmly structured. It conveys the fresh acidity of the year, with fine smoky tannins. It will be an impressive wine. Drink from 2024.",Clos de l'Ecu Premier Cru Monopole,93,76.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Faiveley 2018 Clos de l'Ecu Premier Cru Monopole  (Beaune),Pinot Noir,Domaine Faiveley, 2018 Clos de l'Ecu Premier Cru Monopole  (Beaune),2018,Good
75964,France,"Following an unfortunate Chanson white wine style, this wine is totally dominated by new, high toast wood. It shows freshness, but the acidity comes from the wood, leaving the structured fruit way behind.",Clos des Mouches Premier Cru,85,105.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Clos des Mouches Premier Cru  (Beaune),Chardonnay,Chanson Père et Fils, 2009 Clos des Mouches Premier Cru  (Beaune),2009,Bad
76379,France,"This is a powerful, ripe wine, touched by its wood aging while having rich yellow fruits and a dense structure. Nervous tension comes from the acidity and the strongly mineral texture. It's a magnificent wine that needs aging, so drink from 2023.",,95,307.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Méo-Camuzet 2017  Corton-Charlemagne,Chardonnay,Domaine Méo-Camuzet, 2017  Corton-Charlemagne,2017,Good
76426,France,"This is a blend from different Premier Cru vineyards in Beaune. At this stage, it is dominated by the wood aging. That gives a bitterness to the wine that needs to soften and allow the ripe fruit to come out. It does have potential, although the maturity will take time. Drink from 2023.",Collection Premier Cru,90,73.0,Burgundy,Beaune,,Roger Voss,@vossroger,L. Tramier & Fils 2019 Collection Premier Cru  (Beaune),Pinot Noir,L. Tramier & Fils, 2019 Collection Premier Cru  (Beaune),2019,Mid
78347,France,"A rounded wine, this is a blend of different premier-cru vineyards in Beaune. It packed with raspberries and red cherries. The acidity, typical of the year, is restrained here by the ripe fruitiness. Tannins give the wine just the right amount of support.",Bastion Premier Cru,91,59.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Bastion Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Bastion Premier Cru  (Beaune),2017,Good
78408,France,"Soft and generous, full of perfumed ripe berry fruits, touched with strawberry acidity. The tannins are all part of the softness, like flecks of dust on the wine. It is beautifully pure, ripe and open.",Les Marconnets Premier Cru,90,55.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de la Vougeraie 2009 Les Marconnets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de la Vougeraie, 2009 Les Marconnets Premier Cru  (Savigny-lès-Beaune),2009,Mid
78842,France,"This wine is dense and still firm, although the red-berry fruits are being to integrate well into the structure. It shows signs of its wood aging that will need to go away for the wine really to develop. However, a juicy background promises well. Drink this wine, from a small Grand Cru close to the village of Aloxe-Corton, from 2024.",Clos des Fietres,93,140.0,Burgundy,Corton,,Roger Voss,@vossroger,Au Pied du Mont Chauve 2016 Clos des Fietres  (Corton),Pinot Noir,Au Pied du Mont Chauve, 2016 Clos des Fietres  (Corton),2016,Good
80451,France,"Well structured, this combines ripe red fruits with a firm texture. It has a good concentration and a mineral, terroir-driven character that shows through in its dry core. The juicy acidity at the end gives a lift, but the wine needs to age. Drink from 2021.",Bélissand Premier Cru,91,74.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2016 Bélissand Premier Cru  (Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2016 Bélissand Premier Cru  (Beaune),2016,Good
81188,France,"This wine is soft and round, with attractive acidity as well as a light sense of structure from tannins. It features considerable acidity along with wild strawberry flavors that keep it lifted and aromatic. Drink from 2021.",Vignes Franches Premier Cru,91,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2016 Vignes Franches Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2016 Vignes Franches Premier Cru  (Beaune),2016,Good
81239,France,"This is unusual, a Pinot Blanc with a Burgundy appellation. But with its creamy texture and soft fruitiness, it fits well into the Burgundy flavor spectrum. There is some crispness, bright acidity and a fresh final taste. Drink now.",,89,38.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Alex Gambal 2015  Savigny-lès-Beaune,Pinot Blanc,Alex Gambal, 2015  Savigny-lès-Beaune,2015,Mid
84800,France,"This wine has power along with great fruit and a rich structure. Yellow fruits are laced with a more finessed texture that adds minerality. It is a dense wine, full of fruit, with a measured touch of wood. Age this until 2021.",,95,185.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Albert Bichot 2018  Corton-Charlemagne,Chardonnay,Albert Bichot, 2018  Corton-Charlemagne,2018,Good
84811,France,"Powerful and rich, this has a great spice component that shoots through the pure fruit flavors. It is already a delicious wine with its juicy acidity and fresh, zesty, mineral character. But at the same time, it has a great structure, beautifully ripe fruitiness and excellent potential. It will drink at its best from 2022.",,95,333.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Faiveley 2018  Corton-Charlemagne,Chardonnay,Domaine Faiveley, 2018  Corton-Charlemagne,2018,Good
84822,France,"Ripe and full of red berry aromas and flavors, this is a generous, warm wine. It has great swathes of juicy acidity and an attractive touch of toasty, spicy wood that is integrating well with the fruit. The tannic structure offers good support for the bright acidity and rich fruitiness. Drink from 2024.",Bressandes Premier Cru,94,89.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Bressandes Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Bressandes Premier Cru  (Beaune),2017,Good
85090,France,"Fruity and fragrant, this Savigny shows extra weight that makes it serious and age worthy. The wine's tannins are cushioned by the generous red fruits, which promise aging potential. Wood and spice flavors emphasize the finish.",Clos des Guettes Premier Cru,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Jadot 2014 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Louis Jadot, 2014 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),2014,Mid
86611,France,"Ripe, jammy fruitiness gives this wine a generous feel. Packed with opulent berry flavor, it will develop well. It is rich and rounded, nicely supported by the tannins that are in the background. Drink from 2023.",Clos de Marconnets Premier Cru,92,72.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Clos de Marconnets Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Clos de Marconnets Premier Cru  (Beaune),2017,Good
86711,France,"This wine comes from a small Chardonnay enclave in the predominantly red premier cru of Beaune Grèves. With its intense exotic fruit and apricot flavors, it's both ripe and crisp with acidity. That makes for a delicious reflection of the vintage, needing time to mature. Drink from 2024.",Beaune Grèves Premier Cru Le Clos Blanc,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2018 Beaune Grèves Premier Cru Le Clos Blanc  (Beaune),Chardonnay,Louis Jadot, 2018 Beaune Grèves Premier Cru Le Clos Blanc  (Beaune),2018,Good
87418,France,"First recorded in 1375, this vineyard produces powerful, concentrated wines. This fine example is dense, weighty and firm. The acidity is there, buried in the firm tannins. It is a wine with an enormous potential, dark and full of plum skin and berries. Drink from 2022.",Clos de la Vigne au Saint,94,140.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2018 Clos de la Vigne au Saint  (Corton),Pinot Noir,Louis Latour, 2018 Clos de la Vigne au Saint  (Corton),2018,Good
87870,France,"This wine has intense acidity along with red fruits, showing the freshness of the year. A smoky, burnt character from the wood aging needs to integrate, with a youthful crispness that needs to soften. Drink from 2024.",Les Montrevenots Premier Cru,88,30.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jean Monnier et Fils 2018 Les Montrevenots Premier Cru  (Beaune),Pinot Noir,Domaine Jean Monnier et Fils, 2018 Les Montrevenots Premier Cru  (Beaune),2018,Mid
88504,France,"Ripe and fruity with a velvet texture that encompasses the tannins easily, this is a rounded, rich wine. The balance of fruit and acidity is already attractive. Drink from 2022.",,88,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Latour 2018  Savigny-lès-Beaune,Pinot Noir,Louis Latour, 2018  Savigny-lès-Beaune,2018,Mid
89159,France,"Rich and dense, this concentrated wine has a fine, smooth texture that is ripe with red-berry fruits. The freshness of the vintage comes through in the acidity and crisp, taut texture. The wine will be ready to drink from 2024, the 800th anniversary of the oldest-known traces of this vineyard.",Clos de la Mousse Premier Cru,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2018 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2018 Clos de la Mousse Premier Cru  (Beaune),2018,Good
89162,France,"This is a ripe wine. Red plum and berry fruits are given weight and richness by the solid tannins, smoky flavors and the dryness at the heart of the wine. Give this structured wine time to develop and drink from 2021.",Les Toussaints Premier Cru,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2018 Les Toussaints Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2018 Les Toussaints Premier Cru  (Beaune),2018,Good
89170,France,"Packed with red fruits, this wine has great potential, with attractive wild-strawberry fruits that are fresh and perfumed. Behind this fruitiness, the wine is tight and structured. It will be round, rich and ready to drink from 2023.",Coucherias Premier Cru,92,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Pierre Labet 2017 Coucherias Premier Cru  (Beaune),Pinot Noir,Domaine Pierre Labet, 2017 Coucherias Premier Cru  (Beaune),2017,Good
89222,France,"The texture and structure of this wine may be light but the fruitiness is so appealing. Soft and ripe with red-berry fruit flavors and refreshing acidity, it will develop quickly and be ready to drink from 2021.",Les Serpentières Premier Cru,88,49.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maurice Ecard 2017 Les Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maurice Ecard, 2017 Les Serpentières Premier Cru  (Savigny-lès-Beaune),2017,Mid
89286,France,"This smoky wine is ripe with a fine balance between tannins and rich red fruits. It is warm, rounded and attractively spicy. The structure and dry core will allow the wine to age. Drink from 2022.",Les Vergelsess Premier Cru,90,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Françoise André 2019 Les Vergelsess Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Françoise André, 2019 Les Vergelsess Premier Cru  (Savigny-lès-Beaune),2019,Mid
89846,France,The initial impression is of toast and spice. Only slowly do the fruit and full-bodied richness of this wine become apparent. It comes from a Grand Cru close to Corton-Charlemagne and has similar structure and power. The wine will develop slowly and richly. Drink it from 2024.,,93,104.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Maillard 2017  Corton,Pinot Noir,Domaine Maillard, 2017  Corton,2017,Good
89867,France,"This is a concentrated wine, full with dry tannins and perfumed red fruits. Hints of the wood aging give the wine toast and smokiness. The fresh fruits form a contrast offering a future of fragrance and stylishness. It needs to age, so wait until 2023.",Montée Rouge Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2016 Montée Rouge Premier Cru  (Beaune),Pinot Noir,Château de Santenay, 2016 Montée Rouge Premier Cru  (Beaune),2016,Good
90105,France,"A warm, earthy, rustic style, richly fruity with peaches and sweet juiced fruits. There is good balance of wood, toast, nutmeg and sweet spice. The finale draws a fine line in elegance.",,88,32.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Henri de Villamont 2011  Savigny-lès-Beaune,Chardonnay,Henri de Villamont, 2011  Savigny-lès-Beaune,2011,Mid
90628,France,"Soft tannins and a rounded texture make this wine almost drinkable now. The smooth structure only slowly shows tannins and acidity. A fresh, raspberry fruit character will allow the wine to develop. Drink now, although better from 2021.",Clos des Guettes Premier Cru,89,41.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Henri de Villamont 2016 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Henri de Villamont, 2016 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),2016,Mid
90717,France,"Bold brush strokes characterize this wine, the fruit a complex mélange of red berries, acidity and weight. The wine has good density, offering a strawberry jam character to go with the fresh edge. Tannins are enveloped in the fruits, promising medium-term aging.",Clos de la Mousse Premier Cru,91,58.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2011 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2011 Clos de la Mousse Premier Cru  (Beaune),2011,Good
90721,France,"One of Bouchard's signature wines, this is beautifully textured, a series of bright fruits, strawberries and sweet acidity. There are tannins, but this is lighter than in some vintages, a wine for short-term aging.",Beaune Grèves Premier Cru Vigne de l'Enfant Jésus,91,118.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2011 Beaune Grèves Premier Cru Vigne de l'Enfant Jésus  (Beaune),Pinot Noir,Bouchard Père & Fils, 2011 Beaune Grèves Premier Cru Vigne de l'Enfant Jésus  (Beaune),2011,Good
90814,France,"An intense and concentrated wine, with dense black fruits balanced by acidity. There is ripeness here, with a firm, ageworthy structure as well as delicious juicy Pinot Noir character.",Château Corton Grancey,93,129.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2013 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour, 2013 Château Corton Grancey  (Corton),2013,Good
92525,France,"Spice, especially nutmeg, is a distinctive character in this soft, ripe wine. It lacks some definition, but is attractively round. Fruit flavors tend toward white pears, edged with toast, while the texture is fat, full.",Domaine du Pavillon Clos des Mouches Premier Cru,89,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Bichot 2010 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune),Chardonnay,Albert Bichot, 2010 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune),2010,Mid
93221,France,"This shows Savigny's softness and approachability, along with tannins and acids. It is firmly concentrated, creating a wine that feels complete, juicy and rich.",Dominode Premier Cru,90,42.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2013 Dominode Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Chanson Père et Fils, 2013 Dominode Premier Cru  (Savigny-lès-Beaune),2013,Mid
94113,France,"Powerful and concentrated, this has an intense expression of ripe tropical fruits. The wood shows strongly at this stage, although with this amount of richness, it has the weight and the power to develop well over many years.",,95,123.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Vincent Girardin 2014  Corton-Charlemagne,Chardonnay,Domaine Vincent Girardin, 2014  Corton-Charlemagne,2014,Good
94128,France,"Richly structured, this wine is all texture at this stage—although the rich fruit lingers underneath. Apple, pear and citrus fruits give this opulent, powerful wine its freshness. This has a great future ahead.",,94,130.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Latour 2014  Corton-Charlemagne,Chardonnay,Louis Latour, 2014  Corton-Charlemagne,2014,Good
94513,France,"Fruity and ripe, it also presents a fresh feel that cuts through the jammy red fruits and gives an edge to the weight and velvet texture. It's almost ready to drink but will be better from 2019.",Vignes Franches Premier Cru,91,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2015 Vignes Franches Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2015 Vignes Franches Premier Cru  (Beaune),2015,Good
94516,France,"This was the first vineyard bought by the Bouchard family, purchased in 1791. More than 220 years later, this 2015 has a delicate touch of wood nestled in the heart of creamy fruit flavors. Crisp lemon and tight acidity give a bright, fresh aftertaste. Drink from 2020.",Clos Saint-Landry Premier Cru,91,60.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Clos Saint-Landry Premier Cru  (Beaune),Chardonnay,Bouchard Père & Fils, 2015 Clos Saint-Landry Premier Cru  (Beaune),2015,Good
94835,France,"An intriguing wine, that offers ripe sweetness followed by an edgy rustic acidity. Is this a stage in its evolution? Probably, because the tannins promise aging and the intensely aromatic nature of the fruit points to a potentially fine wine. Just don't drink it yet.",Clos de la Mousse Premier Cru,89,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2010 Clos de la Mousse Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2010 Clos de la Mousse Premier Cru  (Beaune),2010,Mid
94841,France,"Opulent and ripe, this wine has fine tannins that support the rich red fruit and smoky acidity. The weight and concentration of the wine make it so attractive and indicate it will develop well. Drink from 2023.",Aux Fourneaux Premier Cru,91,18.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Max 2018 Aux Fourneaux Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Louis Max, 2018 Aux Fourneaux Premier Cru  (Savigny-lès-Beaune),2018,Good
95474,France,"The fruit and juicy acidity are the focus here, supported by smoky tannins. The wine will develop relatively quickly, full of fruit. Drink from 2022.",Les Vergelesses Premier Cru,89,48.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maison Champy 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maison Champy, 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),2018,Mid
